,Latitude,Longitude,Dec 25
41,38.62,-89.36,0.0
44,39.3,-87.97,0.0
45,38.56,-89.13,0.0
48,40.08,-88.24,0.0
50,40.75,-88.29,0.0
51,40.74,-88.72,0.0
52,37.9,-89.83,0.0
54,41.74,-87.78,0.0
55,41.96,-87.93,0.0
57,40.01,-88.73,0.0
59,40.15,-88.97,0.0
60,40.14,-88.97,0.0
63,40.46,-90.75,0.0
64,40.62,-89.24,0.0
67,41.47,-87.55,0.0
70,40.59,-91.15,0.0
71,40.14,-87.65,0.0
72,40.1,-87.6,0.0
74,42.43,-89.42,0.0
75,42.46,-89.41,0.0
76,41.93,-88.78,0.0
77,41.92,-88.76,0.0
79,37.81,-89.22,0.0
80,39.83,-88.95,0.0
84,41.55,-88.91,0.0
85,38.81,-90.0,0.0
86,39.11,-88.53,0.0
87,40.81,-89.05,0.0
88,42.06,-88.29,0.0
89,42.03,-88.29,0.0
91,42.32,-90.23,0.0
92,42.0,-88.05,0.0
93,41.89,-87.93,0.0
94,40.78,-89.97,0.0
96,38.6,-89.97,0.0
97,40.33,-88.35,0.0
98,38.68,-88.48,0.0
99,38.66,-88.48,0.0
103,42.3,-89.6,0.0
104,42.4,-90.44,0.0
105,40.95,-90.39,0.0
106,40.67,-89.68,0.0
107,41.45,-90.15,0.0
110,41.89,-88.33,0.0
111,41.86,-88.32,0.0
112,41.86,-88.38,0.0
